reporting_period,product_category,value_usd,share_pct_unrounded,share_pct_display
2025-07-01,usable_cannabis,13009027.2,55.811799853637645,55.81
2025-07-01,plants,7310.69,0.031364587128543335,0.03
2025-07-01,infused_product,3608766.34,15.48246010944035,15.48
2025-07-01,concentrate,6683635.56,28.67437544979346,28.67
2025-08-01,usable_cannabis,13450221.24,56.019681375381126,56.02
2025-08-01,plants,3887.57,0.016191587397598108,0.02
2025-08-01,infused_product,3686643.1,15.354734180323963,15.35
2025-08-01,concentrate,6869061.98,28.60939285689732,28.61
2025-09-01,usable_cannabis,11940279.25,56.09766908548458,56.1
2025-09-01,plants,6280.86,0.029508657082057497,0.03
2025-09-01,infused_product,3074035.08,14.442392766903764,14.44
2025-09-01,concentrate,6264209.41,29.430429490529598,29.43
2025-10-01,usable_cannabis,11670466.05,54.61553828803394,54.62
2025-10-01,plants,1796.47,0.00840713435504183,0.01
2025-10-01,infused_product,3186008.59,14.909907915215603,14.91
2025-10-01,concentrate,6510127.73,30.46614666239541,30.47
2025-11-01,usable_cannabis,10413566.24,54.07322005478341,54.07
2025-11-01,plants,1968.52,0.010221687046400566,0.01
2025-11-01,infused_product,2866681.18,14.885456019632157,14.89
2025-11-01,concentrate,5976053.18,31.031102238538043,31.03
2025-12-01,usable_cannabis,10733439.33,53.39723037201425,53.4
2025-12-01,plants,1734.28,0.008627779581400668,0.01
2025-12-01,infused_product,3101669.27,15.430333507832596,15.43
2025-12-01,concentrate,6264273.33,31.163808340571748,31.16
2026-01-01,usable_cannabis,10186601.33,53.88564052373908,53.89
2026-01-01,plants,1170.36,0.006191034300874447,0.01
2026-01-01,infused_product,2792643.08,14.772676012833372,14.77
2026-01-01,concentrate,5923696.29,31.33549242912669,31.34
2026-02-01,usable_cannabis,9509942.86,53.52171024194685,53.52
2026-02-01,plants,4683.82,0.026360416729721076,0.03
2026-02-01,infused_product,2634753.31,14.828322871419477,14.83
2026-02-01,concentrate,5619003.75,31.623606469903937,31.62
2026-03-01,usable_cannabis,10280598.59,53.630165921315545,53.63
2026-03-01,plants,8886.91,0.04635979643163932,0.05
2026-03-01,infused_product,2793181.51,14.571018070422555,14.57
2026-03-01,concentrate,6086765.74,31.752456211830264,31.75
2026-04-01,usable_cannabis,10319594.17,53.81511472203502,53.82
2026-04-01,plants,26323.94,0.13727534510554948,0.14
2026-04-01,infused_product,2799582.04,14.599394721774106,14.6
2026-04-01,concentrate,6030514.29,31.44821521108534,31.45
2026-05-01,usable_cannabis,10913889.17,53.73636004427972,53.74
2026-05-01,plants,59344.24,0.2921912984016628,0.29
2026-05-01,infused_product,2946693.62,14.50853924188255,14.51
2026-05-01,concentrate,6390137.07,31.462909415436062,31.46
2026-06-01,usable_cannabis,11056380.12,53.44312221433677,53.44
2026-06-01,plants,30625.92,0.1480362259367129,0.15
2026-06-01,infused_product,3007049.55,14.535147567377269,14.54
2026-06-01,concentrate,6594069.77,31.87369399234924,31.87
