"LICENSE","LICENSE_TYPE","LICENSE_NAME","DBA","LICENSE_STATUS","LICENSE_CITY","WEBSITE","CONTACT_NAME","CONTACT_TYPE","CONTACT_CITY","CONTACT_DESCRIPTION"
"DSP225","Dispensary","THE BERENYI GROUP LLC","MARIJUANAVILLE","Active","Newport","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP234","Dispensary","MV LEWISTON, LLC","MARIJUANAVILLE","Active","Lewiston","","FRANK G BERENYI","Officer","Waterville",""
"DSP237","Dispensary","ORLAND MVILLE, LLC","MARIJUANAVILLE","Active","Orland","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP244","Dispensary","MV LISBON STREET 2, LLC","MARIJUANAVILLE","Active","Lewiston","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP174","Dispensary","F. BERENYI ENTERPRISES LLC","MARIJUANAVILLE","Active","Gardiner","https://marijuanaville.us/","FRANK G BERENYI","Officer","Waterville","President"
"DSP174","Dispensary","F. BERENYI ENTERPRISES LLC","MARIJUANAVILLE","Active","Gardiner","https://marijuanaville.us/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP194","Dispensary","BERENYI ENTERPRISES, LLC","MARIJUANAVILLE","Active","Wilton","","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP194","Dispensary","BERENYI ENTERPRISES, LLC","MARIJUANAVILLE","Active","Wilton","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP201","Dispensary","F.G. BERENYI, LLC","MARIJUANAVILLE","Active","Bangor","","FRANK G BERENYI","Officer","Waterville","Ceo"
"DSP201","Dispensary","F.G. BERENYI, LLC","MARIJUANAVILLE","Active","Bangor","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP202","Dispensary","K BERENYI LLC","MARIJUANAVILLE","Active","Alfred","https://marijuanaville.us/index.html","FRANK G BERENYI","Officer","Waterville","Ceo"
"DSP202","Dispensary","K BERENYI LLC","MARIJUANAVILLE","Active","Alfred","https://marijuanaville.us/index.html","FRANK G BERENYI","Owner","","Individual Owner"
"DSP216","Dispensary","HGC LLC","MARIJUANAVILLE","Active","Winslow","","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP216","Dispensary","HGC LLC","MARIJUANAVILLE","Active","Winslow","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP219","Dispensary","D BERENYI, LLC","MARIJUANAVILLE","Active","Augusta","https://marijuanaville.us/index.html","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP219","Dispensary","D BERENYI, LLC","MARIJUANAVILLE","Active","Augusta","https://marijuanaville.us/index.html","FRANK G BERENYI","Owner","","Individual Owner"
"DSP223","Dispensary","MV UNITY LLC","MARIJUANAVILLE","Active","Unity","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP223","Dispensary","MV UNITY LLC","MARIJUANAVILLE","Active","Unity","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP225","Dispensary","THE BERENYI GROUP LLC","MARIJUANAVILLE","Active","Newport","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP225","Dispensary","THE BERENYI GROUP LLC","MARIJUANAVILLE","Active","Newport","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP234","Dispensary","MV LEWISTON, LLC","MARIJUANAVILLE","Active","Lewiston","","FRANK G BERENYI","Officer","Waterville",""
"DSP237","Dispensary","ORLAND MVILLE, LLC","MARIJUANAVILLE","Active","Orland","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP244","Dispensary","MV LISBON STREET 2, LLC","MARIJUANAVILLE","Active","Lewiston","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP198","Dispensary","MAINELY GENETICS LLC","FLOWERS FARMACY","Active","Waterville","flowersfarmacy.com","LUKE M DUPLESSIS","Officer","Waterville",""
"DSP198","Dispensary","MAINELY GENETICS LLC","FLOWERS FARMACY","Active","Waterville","flowersfarmacy.com","LUKE DUPLESSIS","Owner","","Individual Owner"
"DSP174","Dispensary","F. BERENYI ENTERPRISES LLC","MARIJUANAVILLE","Active","Gardiner","https://marijuanaville.us/","FRANK G BERENYI","Officer","Waterville","President"
"DSP174","Dispensary","F. BERENYI ENTERPRISES LLC","MARIJUANAVILLE","Active","Gardiner","https://marijuanaville.us/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP194","Dispensary","BERENYI ENTERPRISES, LLC","MARIJUANAVILLE","Active","Wilton","","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP194","Dispensary","BERENYI ENTERPRISES, LLC","MARIJUANAVILLE","Active","Wilton","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP201","Dispensary","F.G. BERENYI, LLC","MARIJUANAVILLE","Active","Bangor","","FRANK G BERENYI","Officer","Waterville","Ceo"
"DSP201","Dispensary","F.G. BERENYI, LLC","MARIJUANAVILLE","Active","Bangor","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP202","Dispensary","K BERENYI LLC","MARIJUANAVILLE","Active","Alfred","https://marijuanaville.us/index.html","FRANK G BERENYI","Officer","Waterville","Ceo"
"DSP202","Dispensary","K BERENYI LLC","MARIJUANAVILLE","Active","Alfred","https://marijuanaville.us/index.html","FRANK G BERENYI","Owner","","Individual Owner"
"DSP216","Dispensary","HGC LLC","MARIJUANAVILLE","Active","Winslow","","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP216","Dispensary","HGC LLC","MARIJUANAVILLE","Active","Winslow","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP219","Dispensary","D BERENYI, LLC","MARIJUANAVILLE","Active","Augusta","https://marijuanaville.us/index.html","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP219","Dispensary","D BERENYI, LLC","MARIJUANAVILLE","Active","Augusta","https://marijuanaville.us/index.html","FRANK G BERENYI","Owner","","Individual Owner"
"DSP223","Dispensary","MV UNITY LLC","MARIJUANAVILLE","Active","Unity","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP223","Dispensary","MV UNITY LLC","MARIJUANAVILLE","Active","Unity","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP225","Dispensary","THE BERENYI GROUP LLC","MARIJUANAVILLE","Active","Newport","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP225","Dispensary","THE BERENYI GROUP LLC","MARIJUANAVILLE","Active","Newport","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP234","Dispensary","MV LEWISTON, LLC","MARIJUANAVILLE","Active","Lewiston","","FRANK G BERENYI","Officer","Waterville",""
"DSP237","Dispensary","ORLAND MVILLE, LLC","MARIJUANAVILLE","Active","Orland","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP244","Dispensary","MV LISBON STREET 2, LLC","MARIJUANAVILLE","Active","Lewiston","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP174","Dispensary","F. BERENYI ENTERPRISES LLC","MARIJUANAVILLE","Active","Gardiner","https://marijuanaville.us/","FRANK G BERENYI","Officer","Waterville","President"
"DSP174","Dispensary","F. BERENYI ENTERPRISES LLC","MARIJUANAVILLE","Active","Gardiner","https://marijuanaville.us/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP194","Dispensary","BERENYI ENTERPRISES, LLC","MARIJUANAVILLE","Active","Wilton","","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP194","Dispensary","BERENYI ENTERPRISES, LLC","MARIJUANAVILLE","Active","Wilton","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP201","Dispensary","F.G. BERENYI, LLC","MARIJUANAVILLE","Active","Bangor","","FRANK G BERENYI","Officer","Waterville","Ceo"
"DSP201","Dispensary","F.G. BERENYI, LLC","MARIJUANAVILLE","Active","Bangor","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP202","Dispensary","K BERENYI LLC","MARIJUANAVILLE","Active","Alfred","https://marijuanaville.us/index.html","FRANK G BERENYI","Officer","Waterville","Ceo"
"DSP202","Dispensary","K BERENYI LLC","MARIJUANAVILLE","Active","Alfred","https://marijuanaville.us/index.html","FRANK G BERENYI","Owner","","Individual Owner"
"DSP216","Dispensary","HGC LLC","MARIJUANAVILLE","Active","Winslow","","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP216","Dispensary","HGC LLC","MARIJUANAVILLE","Active","Winslow","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP219","Dispensary","D BERENYI, LLC","MARIJUANAVILLE","Active","Augusta","https://marijuanaville.us/index.html","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP219","Dispensary","D BERENYI, LLC","MARIJUANAVILLE","Active","Augusta","https://marijuanaville.us/index.html","FRANK G BERENYI","Owner","","Individual Owner"
"DSP223","Dispensary","MV UNITY LLC","MARIJUANAVILLE","Active","Unity","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP223","Dispensary","MV UNITY LLC","MARIJUANAVILLE","Active","Unity","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP225","Dispensary","THE BERENYI GROUP LLC","MARIJUANAVILLE","Active","Newport","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP225","Dispensary","THE BERENYI GROUP LLC","MARIJUANAVILLE","Active","Newport","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP234","Dispensary","MV LEWISTON, LLC","MARIJUANAVILLE","Active","Lewiston","","FRANK G BERENYI","Officer","Waterville",""
"DSP237","Dispensary","ORLAND MVILLE, LLC","MARIJUANAVILLE","Active","Orland","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP244","Dispensary","MV LISBON STREET 2, LLC","MARIJUANAVILLE","Active","Lewiston","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP174","Dispensary","F. BERENYI ENTERPRISES LLC","MARIJUANAVILLE","Active","Gardiner","https://marijuanaville.us/","FRANK G BERENYI","Officer","Waterville","President"
"DSP174","Dispensary","F. BERENYI ENTERPRISES LLC","MARIJUANAVILLE","Active","Gardiner","https://marijuanaville.us/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP194","Dispensary","BERENYI ENTERPRISES, LLC","MARIJUANAVILLE","Active","Wilton","","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP194","Dispensary","BERENYI ENTERPRISES, LLC","MARIJUANAVILLE","Active","Wilton","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP201","Dispensary","F.G. BERENYI, LLC","MARIJUANAVILLE","Active","Bangor","","FRANK G BERENYI","Officer","Waterville","Ceo"
"DSP201","Dispensary","F.G. BERENYI, LLC","MARIJUANAVILLE","Active","Bangor","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP202","Dispensary","K BERENYI LLC","MARIJUANAVILLE","Active","Alfred","https://marijuanaville.us/index.html","FRANK G BERENYI","Officer","Waterville","Ceo"
"DSP202","Dispensary","K BERENYI LLC","MARIJUANAVILLE","Active","Alfred","https://marijuanaville.us/index.html","FRANK G BERENYI","Owner","","Individual Owner"
"DSP216","Dispensary","HGC LLC","MARIJUANAVILLE","Active","Winslow","","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP216","Dispensary","HGC LLC","MARIJUANAVILLE","Active","Winslow","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP219","Dispensary","D BERENYI, LLC","MARIJUANAVILLE","Active","Augusta","https://marijuanaville.us/index.html","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP219","Dispensary","D BERENYI, LLC","MARIJUANAVILLE","Active","Augusta","https://marijuanaville.us/index.html","FRANK G BERENYI","Owner","","Individual Owner"
"DSP223","Dispensary","MV UNITY LLC","MARIJUANAVILLE","Active","Unity","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP223","Dispensary","MV UNITY LLC","MARIJUANAVILLE","Active","Unity","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP225","Dispensary","THE BERENYI GROUP LLC","MARIJUANAVILLE","Active","Newport","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP225","Dispensary","THE BERENYI GROUP LLC","MARIJUANAVILLE","Active","Newport","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP234","Dispensary","MV LEWISTON, LLC","MARIJUANAVILLE","Active","Lewiston","","FRANK G BERENYI","Officer","Waterville",""
"DSP237","Dispensary","ORLAND MVILLE, LLC","MARIJUANAVILLE","Active","Orland","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP244","Dispensary","MV LISBON STREET 2, LLC","MARIJUANAVILLE","Active","Lewiston","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP174","Dispensary","F. BERENYI ENTERPRISES LLC","MARIJUANAVILLE","Active","Gardiner","https://marijuanaville.us/","FRANK G BERENYI","Officer","Waterville","President"
"DSP174","Dispensary","F. BERENYI ENTERPRISES LLC","MARIJUANAVILLE","Active","Gardiner","https://marijuanaville.us/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP194","Dispensary","BERENYI ENTERPRISES, LLC","MARIJUANAVILLE","Active","Wilton","","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP194","Dispensary","BERENYI ENTERPRISES, LLC","MARIJUANAVILLE","Active","Wilton","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP201","Dispensary","F.G. BERENYI, LLC","MARIJUANAVILLE","Active","Bangor","","FRANK G BERENYI","Officer","Waterville","Ceo"
"DSP201","Dispensary","F.G. BERENYI, LLC","MARIJUANAVILLE","Active","Bangor","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP202","Dispensary","K BERENYI LLC","MARIJUANAVILLE","Active","Alfred","https://marijuanaville.us/index.html","FRANK G BERENYI","Officer","Waterville","Ceo"
"DSP202","Dispensary","K BERENYI LLC","MARIJUANAVILLE","Active","Alfred","https://marijuanaville.us/index.html","FRANK G BERENYI","Owner","","Individual Owner"
"DSP216","Dispensary","HGC LLC","MARIJUANAVILLE","Active","Winslow","","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP216","Dispensary","HGC LLC","MARIJUANAVILLE","Active","Winslow","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP219","Dispensary","D BERENYI, LLC","MARIJUANAVILLE","Active","Augusta","https://marijuanaville.us/index.html","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP219","Dispensary","D BERENYI, LLC","MARIJUANAVILLE","Active","Augusta","https://marijuanaville.us/index.html","FRANK G BERENYI","Owner","","Individual Owner"
"DSP223","Dispensary","MV UNITY LLC","MARIJUANAVILLE","Active","Unity","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP223","Dispensary","MV UNITY LLC","MARIJUANAVILLE","Active","Unity","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP225","Dispensary","THE BERENYI GROUP LLC","MARIJUANAVILLE","Active","Newport","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP225","Dispensary","THE BERENYI GROUP LLC","MARIJUANAVILLE","Active","Newport","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP234","Dispensary","MV LEWISTON, LLC","MARIJUANAVILLE","Active","Lewiston","","FRANK G BERENYI","Officer","Waterville",""
"DSP237","Dispensary","ORLAND MVILLE, LLC","MARIJUANAVILLE","Active","Orland","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP244","Dispensary","MV LISBON STREET 2, LLC","MARIJUANAVILLE","Active","Lewiston","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP203","Dispensary","HEATHWOOD COMPANY, LLC","KIND & CO","Active","Windham","www.kindand.co","JOSEPH B FERRI","Officer","Poland",""
"DSP203","Dispensary","HEATHWOOD COMPANY, LLC","KIND & CO","Active","Windham","www.kindand.co","DAVID E MACHESNEY","Officer","Falmouth",""
"DSP203","Dispensary","HEATHWOOD COMPANY, LLC","KIND & CO","Active","Windham","www.kindand.co","MARK A KAZILIONIS","Officer","Scarborough",""
"DSP203","Dispensary","HEATHWOOD COMPANY, LLC","KIND & CO","Active","Windham","www.kindand.co","HEATHWOOD COMPANY LLC","Owner","","Business Owner"
"DSP204","Dispensary","HAZY HILL FARMS, LLC","HAZY HILL FARM","Active","Wells","www.hazyhillfarm.com","RENEE LOHREY","Officer","Topsham","Member"
"DSP204","Dispensary","HAZY HILL FARMS, LLC","HAZY HILL FARM","Active","Wells","www.hazyhillfarm.com","RENEE LOHREY","Owner","","Individual Owner"
"DSP204","Dispensary","HAZY HILL FARMS, LLC","HAZY HILL FARM","Active","Wells","www.hazyhillfarm.com","DAVID A STEPHENSON","Officer","Portland","Managing Member"
"DSP204","Dispensary","HAZY HILL FARMS, LLC","HAZY HILL FARM","Active","Wells","www.hazyhillfarm.com","HILARY S STEPHENSON","Officer","Portland","Member"
"DSP204","Dispensary","HAZY HILL FARMS, LLC","HAZY HILL FARM","Active","Wells","www.hazyhillfarm.com","HILARY STEPHENSON","Owner","","Individual Owner"
"DSP204","Dispensary","HAZY HILL FARMS, LLC","HAZY HILL FARM","Active","Wells","www.hazyhillfarm.com","RENEE LOHREY","Officer","Topsham","Member"
"DSP204","Dispensary","HAZY HILL FARMS, LLC","HAZY HILL FARM","Active","Wells","www.hazyhillfarm.com","RENEE LOHREY","Owner","","Individual Owner"
"DSP204","Dispensary","HAZY HILL FARMS, LLC","HAZY HILL FARM","Active","Wells","www.hazyhillfarm.com","DAVID STEPHENSON","Owner","","Individual Owner"
"DSP205","Dispensary","FORD & FORD ENTERPRISES, LLC","HAZY MOOSE 2.0","Active","Kenduskeag","","JOSHUA C FORD","Officer","Houlton","Manager/Member"
"DSP205","Dispensary","FORD & FORD ENTERPRISES, LLC","HAZY MOOSE 2.0","Active","Kenduskeag","","ROBERT ALLEN FORD","Officer","Navarre","Manager/Member"
"DSP205","Dispensary","FORD & FORD ENTERPRISES, LLC","HAZY MOOSE 2.0","Active","Kenduskeag","","ROBERT A. FORD","Owner","","Individual Owner"
"DSP205","Dispensary","FORD & FORD ENTERPRISES, LLC","HAZY MOOSE 2.0","Active","Kenduskeag","","JOSHUA C. FORD","Owner","","Individual Owner"
"DSP207","Dispensary","IRIE CULTIVATION LLC","IRIE FARMER","Active","Orono","","DUSTIN G CYR","Officer","Hermon","Cultivation Director"
"DSP207","Dispensary","IRIE CULTIVATION LLC","IRIE FARMER","Active","Orono","","DUSTIN CYR","Owner","","Individual Owner"
"DSP207","Dispensary","IRIE CULTIVATION LLC","IRIE FARMER","Active","Orono","","9 GODFREY, LLC","Owner","","Business Owner"
"DSP208","Dispensary","NEW MILL LLC","","Active","Bethel","","BENJAMIN JOHN CROTEAU","Officer","West Bethel","Owner"
"DSP208","Dispensary","NEW MILL LLC","","Active","Bethel","","BENJAMIN CROTEAU","Owner","","Individual Owner"
"DSP209","Dispensary","CRYSTAL SPRING HEALING ALTERNATIVES, LLC","","Active","Lisbon","crystalspringsha.com","SAMUEL M SCALIA","Officer","Lewiston","Owner"
"DSP209","Dispensary","CRYSTAL SPRING HEALING ALTERNATIVES, LLC","","Active","Lisbon","crystalspringsha.com","SAMUEL SCALIA","Owner","","Individual Owner"
"DSP210","Dispensary","SILVER SMOKE, LLC","STRAWBERRY FIELDS 2.0","Active","Lewiston","","SHAWN BRANDON MCNEIL","Officer","Scarborough","Owner"
"DSP210","Dispensary","SILVER SMOKE, LLC","STRAWBERRY FIELDS 2.0","Active","Lewiston","","CHRISTOPHER SCOTT MCNEIL","Officer","Scarborough","Manager"
"DSP210","Dispensary","SILVER SMOKE, LLC","STRAWBERRY FIELDS 2.0","Active","Lewiston","","PHUONG LAC","Officer","Scarborough","Accounts Receivable"
"DSP210","Dispensary","SILVER SMOKE, LLC","STRAWBERRY FIELDS 2.0","Active","Lewiston","","BRITTANY SUE BERKEY","Officer","Waterville","Store Manager"
"DSP210","Dispensary","SILVER SMOKE, LLC","STRAWBERRY FIELDS 2.0","Active","Lewiston","","SHAWN MCNEIL","Owner","","Individual Owner"
"DSP212","Dispensary","RIPPLE WELLNESS LLC","","Active","Saco","https://ripple-wellness.com/","KATIE A SMEGIELSKI","Officer","Biddeford","Co-Owner"
"DSP212","Dispensary","RIPPLE WELLNESS LLC","","Active","Saco","https://ripple-wellness.com/","KATIE SMEGIELSKI","Owner","","Individual Owner"
"DSP212","Dispensary","RIPPLE WELLNESS LLC","","Active","Saco","https://ripple-wellness.com/","TYLER CRESPO","Owner","","Individual Owner"
"DSP213","Dispensary","SEASMOKE EXTRACTS, INC.","","Active","Auburn","","KASPAR SPURGEON-HEINRICI","Officer","Cape Elizabeth","Director"
